batch,day,idturk,treatment,initialendowment,initialendowmentupdated,pointssaving1,pointssaving2,pointssaving3,pointssaving4,borrowdebt1,borrowdebt2,borrowsaving5,borrowsaving6,pointsthisdecision,additionalpointssaving1,additionalpointssaving2,additionalpointssaving3,additionalpointssaving4,points_ia_a1,points_ia_a2,points_ia_a3,points_ia_a4,points_aa_a1,points_aa_a2,points_aa_a3,points_aa_a4,balance_ia_a1,balance_ia_a2,balance_ia_a3,balance_ia_a4,balance_aa_a1,balance_aa_a2,balance_aa_a3,balance_aa_a4,balance_borrow_a1,balance_borrow_a2,lottery1choice,lottery2choice,time1choice,time2choice,oneshotcontrol_s1,oneshotcontrol_s2,oneshotcontrol_s3,oneshotcontrol_s4,oneshotdebt_s1,oneshotdebt_s2,oneshotdebt_d1,oneshotdebt_d2,oneshothigh_s1,oneshothigh_s2,oneshothigh_d1,oneshothigh_d2,end_reasoning,end_debtimportance,end_balancesimportance,end_rateimportance,end_hindsight,demo_sex,demo_age,demo_state,demo_race,demo_educ,demo_collegeplus,demo_studentloan,demo_holddebt,demo_covid,errorbdm1,errorbdm2,errorbdm3,errordebtintro1,errordebtintro2,errordebtintro3,errordebtintro4,errordebtintro5,errordebtendowment1,errordebtendowment2,errordebtendowment3,errordebtendowment4,errordebtendowment5,errordebtendowment6,errordebtendowment7,errordebtendowment8,errordebtpayment1,errordebtpayment2,errordebtpayment3,errorend1,errorend2,error_count,error_initial,error_main,error_end,error_main_total,error_count_total,borrowcap1bal,borrowcap2bal,borrowcap1percleft,borrowcap2percleft,gap,controlsaving1balanceupdated,controlsaving2balanceupdated,controlsaving3balanceupdated,controlsaving4balanceupdated,debtsaving1balanceupdated,debtsaving2balanceupdated,debtsaving3balanceupdated,debtsaving4balanceupdated,controlsaving1balanceupdated2,controlsaving2balanceupdated2,controlsaving3balanceupdated2,controlsaving4balanceupdated2,debtsaving1balanceupdated2,debtsaving2balanceupdated2,debtsaving3balanceupdated2,debtsaving4balanceupdated2,netbalance,netreturn,totalpoints,finalpayment,finalpaymentend,participantid,lotterychoice,timechoice,durationinseconds,selectioncontroltreatment,selectiondebttreatment,controlsaving5balanceupdated,controlsaving6balanceupdated,debtdebt1balanceupdated,debtdebt2balanceupdated,q1697,debtsaving3balance,debtsaving4balance,order_oneshotcontrol,order_oneshotdebt,order_oneshothighdebt,io,perco_orig,perco_adtl,perco_os_c,perco_os_d,perco_os_h,ind_optimal_ia,ind_optimal_ap,ind_optimal_ia_d1_t,ind_optimal_ia_d4_t,ind_optimal_ia_d1,ind_optimal_ia_d4,ind_optimal_ia_all,ind_optimal_ap_all,os_optimal_c_t,os_optimal_d_t,os_optimal_h_t,os_optimal_c,os_optimal_d,os_optimal_h,instructions_confused,borrow_max_a1,borrow_max_a2,borrow_max_both,borrow_max_a1_d1,borrow_max_a2_d1,borrow_max_both_d1,borrow_max_a1_d4,borrow_max_a2_d4,borrow_max_both_d4,optimal_s1,optimal_s1_d1_t,optimal_s1_d1,optimal_s1_d4_t,optimal_s1_d4,borrow_d1_t,borrow_d1,total_pointssaving1,total_pointssaving2,total_pointssaving3,total_pointssaving4,total_borrowdebt1,total_borrowdebt2,total_borrowsaving5,total_borrowsaving6,total_points_allocated,perc_total_pointssaving1,perc_total_pointssaving2,perc_total_pointssaving3,perc_total_pointssaving4,total_perc_points_allocated,returns,demo_white,demo_age_median
3,2,A28ZPY6D5AS7GZ,0,711,2211,1500,250,250,211,NA,NA,500,1000,100,60,15,15,10,1500,250,250,211,60,15,15,10,3700,1100,320,215,3760,1115,335,225,700,1100,350,0.75,250,0.699999988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I tried to maximize my profits, basically",Moderately important,Moderately important,Moderately important,Find what works and stick with it,1,48,Georgia,White,Some college,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,1,200,400,0.22222222,0.26666668,NA,3700,1100,320,215,NA,NA,NA,NA,3760,1115,335,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,livermore43722,NA,NA,855,1,0,200,400,NA,NA,NA,NA,NA,NA,NA,NA,2211,0.67842603,0.60000002,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3700,950,650,312,0,0,870,1400,5612,0.65930152,0.16928011,0.11582324,0.055595152,1,975,1,1
3,3,A28ZPY6D5AS7GZ,0,975,1375,500,500,300,75,NA,NA,150,250,100,70,20,5,5,500,500,300,75,70,20,5,5,4260,1615,635,300,4330,1635,640,305,850,1350,499,0.95,475,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I tried to maximize my profits, basically",Moderately important,Moderately important,Moderately important,Find what works and stick with it,1,48,Georgia,White,Some college,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,1,50,150,0.055555556,0.1,NA,4260,1615,635,300,NA,NA,NA,NA,4330,1635,640,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,livermore43722,NA,NA,842,1,0,50,150,NA,NA,NA,NA,NA,NA,NA,NA,1375,0.36363637,0.69999999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3700,950,650,312,0,0,870,1400,5612,0.65930152,0.16928011,0.11582324,0.055595152,1,1156,1,1
3,4,A28ZPY6D5AS7GZ,0,1156,1226,1000,150,50,26,NA,NA,20,50,100,75,15,8,2,1000,150,50,26,75,15,8,2,5330,1785,690,331,5405,1800,698,333,870,1400,478,NA,NA,NA,350,200,350,100,400,100,250,250,500,100,200,200,"I tried to maximize my profits, basically",Moderately important,Moderately important,Moderately important,Find what works and stick with it,1,48,Georgia,White,Some college,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,30,100,0.033333335,0.06666667,NA,5330,1785,690,331,NA,NA,NA,NA,5405,1800,698,333,NA,NA,NA,NA,8366,1392,9758,19.52000046,4.260000229,livermore43722,NA,NA,1047,1,0,30,100,NA,NA,NA,NA,NA,1,2,3,1226,0.81566066,0.75,0.34999999,0.40000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3700,950,650,312,0,0,870,1400,5612,0.65930152,0.16928011,0.11582324,0.055595152,1,1392,1,1
8,1,A2ALJ2ONYV3WOB,0,500,700,100,300,200,100,NA,NA,100,100,600,100,200,100,200,100,300,200,100,100,200,100,200,1200,1000,200,100,1300,1200,300,300,100,100,200,0.050000001,300,0.050000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,very useful for my mind,Extremely important,Extremely important,Extremely important,very useful,1,30,Arizona,Black,Master's Degree (MS),1,1,1,5,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,NA,NA,9,1,8,0,30,39,800,1400,0.8888889,0.93333334,NA,1200,1000,200,100,NA,NA,1100,1600,1300,1200,300,300,NA,NA,1200,1800,NA,NA,NA,NA,NA,sanjose67513,NA,NA,1172,1,0,800,1400,NA,NA,nothing,900,1500,NA,NA,NA,700,0.14285715,0.16666667,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1750,1500,1500,531,0,0,870,1400,5281,0.33137664,0.28403711,0.28403711,0.10054914,1,630,0,0
8,2,A2ALJ2ONYV3WOB,0,630,630,150,250,150,80,NA,NA,0,0,462,200,100,100,62,150,250,150,80,200,100,100,62,1450,1450,450,380,1650,1550,550,442,100,100,300,0.01,500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,very useful for my mind,Extremely important,Extremely important,Extremely important,very useful,1,30,Arizona,Black,Master's Degree (MS),1,1,1,5,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,NA,NA,11,3,8,0,30,39,800,1400,0.8888889,0.93333334,NA,1450,1450,450,380,NA,NA,NA,NA,1650,1550,550,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,sanjose67513,NA,NA,2030,1,0,800,1400,NA,NA,NA,NA,NA,NA,NA,NA,630,0.23809524,0.43290043,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1750,1500,1500,531,0,0,870,1400,5281,0.33137664,0.28403711,0.28403711,0.10054914,1,780,0,0
8,3,A2ALJ2ONYV3WOB,0,780,2680,1000,850,750,80,NA,NA,700,1200,600,200,100,200,100,1000,850,750,80,200,100,200,100,2650,2400,1300,522,2850,2500,1500,622,800,1300,400,1,300,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,very useful for my mind,Extremely important,Extremely important,Extremely important,very useful,1,30,Arizona,Black,Master's Degree (MS),1,1,1,5,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,NA,NA,8,2,6,0,30,39,100,200,0.11111111,0.13333334,NA,2650,2400,1300,522,NA,NA,NA,NA,2850,2500,1500,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,sanjose67513,NA,NA,1947,1,0,100,200,NA,NA,NA,NA,NA,NA,NA,NA,2680,0.37313432,0.33333334,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1750,1500,1500,531,0,0,870,1400,5281,0.33137664,0.28403711,0.28403711,0.10054914,1,1101,0,0
8,4,A2ALJ2ONYV3WOB,0,1101,1271,500,100,400,271,NA,NA,70,100,100,60,10,20,10,500,100,400,271,60,10,20,10,3350,2600,1900,893,3410,2610,1920,903,870,1400,499,NA,NA,NA,500,100,300,100,600,100,200,100,600,150,150,100,very useful for my mind,Extremely important,Extremely important,Extremely important,very useful,1,30,Arizona,Black,Master's Degree (MS),1,1,1,5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,9,0,8,1,30,39,30,100,0.033333335,0.06666667,NA,3350,2600,1900,893,NA,NA,NA,NA,3410,2610,1920,903,NA,NA,NA,NA,8973,1286,10259,20.52000046,4.1300001139999996,sanjose67513,NA,NA,1164,1,0,30,100,NA,NA,NA,NA,NA,1,2,3,1271,0.39339104,0.60000002,0.5,0.60000002,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1750,1500,1500,531,0,0,870,1400,5281,0.33137664,0.28403711,0.28403711,0.10054914,1,1286,0,0
3,1,A2C70CEYBGWK97,0,500,2900,2900,0,0,0,NA,NA,900,1500,389,389,0,0,0,2900,0,0,0,389,0,0,0,4000,700,0,0,4389,700,0,0,900,1500,200,0.4,400,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I allocate as many points as I could to the account with the highest interest rate.,Not at all important,Not at all important,Extremely important,The same one as I did. Put all points to the 20% interest account,1,34,Wisconsin,White,College graduate with Bachelor's Degree (4 year),1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,4000,700,0,0,NA,NA,900,1500,4389,700,0,0,NA,NA,900,1500,NA,NA,NA,NA,NA,antioch56304,NA,NA,1233,1,0,0,0,NA,NA,none,900,1500,NA,NA,NA,2900,1,1,NA,NA,NA,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,6914,0,0,0,0,0,900,1500,6914,1,0,0,0,1,948,1,1
3,2,A2C70CEYBGWK97,0,948,948,948,0,0,0,NA,NA,0,0,100,100,0,0,0,948,0,0,0,100,0,0,0,5337,700,0,0,5437,700,0,0,900,1500,200,0.449999988,420,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I allocate as many points as I could to the account with the highest interest rate.,Not at all important,Not at all important,Extremely important,The same one as I did. Put all points to the 20% interest account,1,34,Wisconsin,White,College graduate with Bachelor's Degree (4 year),1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,5337,700,0,0,NA,NA,NA,NA,5437,700,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,antioch56304,NA,NA,779,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,948,1,1,NA,NA,NA,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,6914,0,0,0,0,0,900,1500,6914,1,0,0,0,1,1157,1,1
3,3,A2C70CEYBGWK97,0,1157,1157,1157,0,0,0,NA,NA,0,0,100,100,0,0,0,1157,0,0,0,100,0,0,0,6594,700,0,0,6694,700,0,0,900,1500,200,0.37,350,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I allocate as many points as I could to the account with the highest interest rate.,Not at all important,Not at all important,Extremely important,The same one as I did. Put all points to the 20% interest account,1,34,Wisconsin,White,College graduate with Bachelor's Degree (4 year),1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,6594,700,0,0,NA,NA,NA,NA,6694,700,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,antioch56304,NA,NA,780,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1157,1,1,NA,NA,NA,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,6914,0,0,0,0,0,900,1500,6914,1,0,0,0,1,1409,1,1
3,4,A2C70CEYBGWK97,0,1909,1909,1909,0,0,0,NA,NA,0,0,600,600,0,0,0,1909,0,0,0,600,0,0,0,8603,700,0,0,9203,700,0,0,900,1500,200,NA,NA,NA,1000,0,0,0,1000,0,0,0,1000,0,0,0,I allocate as many points as I could to the account with the highest interest rate.,Not at all important,Not at all important,Extremely important,The same one as I did. Put all points to the 20% interest account,1,34,Wisconsin,White,College graduate with Bachelor's Degree (4 year),1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8603,700,0,0,NA,NA,NA,NA,9203,700,0,0,NA,NA,NA,NA,9903,1911,11814,23.62999916,4.2100000380000004,antioch56304,NA,NA,886,1,0,0,0,NA,NA,NA,NA,NA,2,1,3,1909,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6914,0,0,0,0,0,900,1500,6914,1,0,0,0,1,1911,1,1
6,1,A2EI075XZT9Y2S,0,500,1600,1200,0,400,0,NA,NA,0,1100,100,100,0,0,0,1200,0,400,0,100,0,0,0,2300,700,400,0,2400,700,400,0,0,1100,300,0.649999976,500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,always went 500 points the next day rather than risk points. i should have transferred it all to the 20% account,Slightly important,Slightly important,Extremely important,get it all in the 20% savings immediately,1,43,New Hampshire,White,High school or equivalent,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,900,400,1,0.26666668,NA,2300,700,400,0,NA,NA,1300,1500,2400,700,400,0,NA,NA,1300,1500,NA,NA,NA,NA,NA,stockton36049,NA,NA,1213,1,0,900,400,NA,NA,no,900,1500,NA,NA,NA,1600,0.75,1,NA,NA,NA,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,7400,0,400,0,0,0,900,1500,7800,0.94871795,0,0.051282052,0,1,765,1,1
6,2,A2EI075XZT9Y2S,0,1265,2565,2565,0,0,0,NA,NA,900,400,100,100,0,0,0,2565,0,0,0,100,0,0,0,4965,700,400,0,5065,700,400,0,900,1500,300,0.649999976,500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,always went 500 points the next day rather than risk points. i should have transferred it all to the 20% account,Slightly important,Slightly important,Extremely important,get it all in the 20% savings immediately,1,43,New Hampshire,White,High school or equivalent,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,4965,700,400,0,NA,NA,NA,NA,5065,700,400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,stockton36049,NA,NA,5616,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2565,1,1,NA,NA,NA,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,7400,0,400,0,0,0,900,1500,7800,0.94871795,0,0.051282052,0,1,1143,1,1
6,3,A2EI075XZT9Y2S,0,1643,1643,1643,0,0,0,NA,NA,0,0,100,100,0,0,0,1643,0,0,0,100,0,0,0,6708,700,400,0,6808,700,400,0,900,1500,350,0.649999976,500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,always went 500 points the next day rather than risk points. i should have transferred it all to the 20% account,Slightly important,Slightly important,Extremely important,get it all in the 20% savings immediately,1,43,New Hampshire,White,High school or equivalent,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,6708,700,400,0,NA,NA,NA,NA,6808,700,400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,stockton36049,NA,NA,882,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1643,1,1,NA,NA,NA,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,7400,0,400,0,0,0,900,1500,7800,0.94871795,0,0.051282052,0,1,1492,1,1
6,4,A2EI075XZT9Y2S,0,1992,1992,1992,0,0,0,NA,NA,0,0,100,100,0,0,0,1992,0,0,0,100,0,0,0,8800,700,400,0,8900,700,400,0,900,1500,350,NA,NA,NA,1000,0,0,0,1000,0,0,0,1000,0,0,0,always went 500 points the next day rather than risk points. i should have transferred it all to the 20% account,Slightly important,Slightly important,Extremely important,get it all in the 20% savings immediately,1,43,New Hampshire,White,High school or equivalent,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8800,700,400,0,NA,NA,NA,NA,8900,700,400,0,NA,NA,NA,NA,10000,1910,11910,23.81999969,4.2100000380000004,stockton36049,NA,NA,1182,1,0,0,0,NA,NA,NA,NA,NA,2,3,1,1992,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,7400,0,400,0,0,0,900,1500,7800,0.94871795,0,0.051282052,0,1,1910,1,1
8,1,A2G43KS55YGYQE,0,500,2900,1500,0,1400,0,NA,NA,900,1500,100,100,0,0,0,1500,0,1400,0,100,0,0,0,2600,700,1400,0,2700,700,1400,0,900,1500,500,1,500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"When I saw that the returns were not changing throughout the experiment, I decided to assign all allocations to the account with the highest returns.",Slightly important,Extremely important,Extremely important,I would have placed all points in the account with the highest returns from the beginning.,1,61,Texas,White,Some college,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,1,0,1,0,2,2,0,0,0,0,NA,2600,700,1400,0,NA,NA,2300,1500,2700,700,1400,0,NA,NA,2300,1500,NA,NA,NA,NA,NA,oakland33602,NA,NA,1278,1,0,0,0,NA,NA,no,900,1500,NA,NA,NA,2900,0.51724136,1,NA,NA,NA,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,5493,0,1400,0,0,0,900,1500,6893,0.79689538,0,0.2031046,0,1,820,1,1
8,2,A2G43KS55YGYQE,0,1320,1320,1320,0,0,0,NA,NA,0,0,408,408,0,0,0,1320,0,0,0,408,0,0,0,4020,700,1400,0,4428,700,1400,0,900,1500,250,0.75,250,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"When I saw that the returns were not changing throughout the experiment, I decided to assign all allocations to the account with the highest returns.",Slightly important,Extremely important,Extremely important,I would have placed all points in the account with the highest returns from the beginning.,1,61,Texas,White,Some college,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,0,1,0,2,2,0,0,0,0,NA,4020,700,1400,0,NA,NA,NA,NA,4428,700,1400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,oakland33602,NA,NA,1292,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1320,1,1,NA,NA,NA,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,5493,0,1400,0,0,0,900,1500,6893,0.79689538,0,0.2031046,0,1,1166,1,1
8,3,A2G43KS55YGYQE,0,1166,1166,1166,0,0,0,NA,NA,0,0,541,541,0,0,0,1166,0,0,0,541,0,0,0,5594,700,1400,0,6135,700,1400,0,900,1500,300,0.5,300,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"When I saw that the returns were not changing throughout the experiment, I decided to assign all allocations to the account with the highest returns.",Slightly important,Extremely important,Extremely important,I would have placed all points in the account with the highest returns from the beginning.,1,61,Texas,White,Some college,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,2,2,0,0,0,0,NA,5594,700,1400,0,NA,NA,NA,NA,6135,700,1400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,oakland33602,NA,NA,1077,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1166,1,1,NA,NA,NA,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,5493,0,1400,0,0,0,900,1500,6893,0.79689538,0,0.2031046,0,1,1507,1,1
8,4,A2G43KS55YGYQE,0,1507,1507,1507,0,0,0,NA,NA,0,0,483,483,0,0,0,1507,0,0,0,483,0,0,0,7642,700,1400,0,8125,700,1400,0,900,1500,300,NA,NA,NA,1000,0,0,0,1000,0,0,0,1000,0,0,0,"When I saw that the returns were not changing throughout the experiment, I decided to assign all allocations to the account with the highest returns.",Slightly important,Extremely important,Extremely important,I would have placed all points in the account with the highest returns from the beginning.,1,61,Texas,White,Some college,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,NA,7642,700,1400,0,NA,NA,NA,NA,8125,700,1400,0,NA,NA,NA,NA,10225,1905,12130,24.26000023,4.3800001139999996,oakland33602,NA,NA,1261,1,0,0,0,NA,NA,NA,NA,NA,1,2,3,1507,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,5493,0,1400,0,0,0,900,1500,6893,0.79689538,0,0.2031046,0,1,1905,1,1
5,1,A2GOYSTIL3LOV1,0,500,2000,1500,0,500,0,NA,NA,0,1500,100,100,0,0,0,1500,0,500,0,100,0,0,0,2600,700,500,0,2700,700,500,0,0,1500,300,0.6,420,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"At first, I wanted to add a little bit to any account that returned 15% or higher. I also liked keeping money in one of my locked savings account, because it felt safer for some reason. After the first couple of days, however, it seemed better to put any extra money into the account with the 20% return because that account would generate the most money.",Not at all important,Slightly important,Extremely important,"Next time, I would put any available money in the account with the 20% return as soon as possible to maximize my payoff.",0,46,California,White,College graduate with Bachelor's Degree (4 year),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,1,900,0,1,0,NA,2600,700,500,0,NA,NA,1400,1500,2700,700,500,0,NA,NA,1400,1500,NA,NA,NA,NA,NA,anaheim12704,NA,NA,1113,1,0,900,0,NA,NA,All of the instructions were clear and easy to understand. I did not think anything was confusing.,900,1500,NA,NA,NA,2000,0.75,1,NA,NA,NA,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,5594,0,500,0,0,0,900,1500,6094,0.91795206,0,0.082047917,0,1,820,1,1
5,2,A2GOYSTIL3LOV1,0,820,820,820,0,0,0,NA,NA,0,0,100,100,0,0,0,820,0,0,0,100,0,0,0,3520,700,500,0,3620,700,500,0,0,1500,300,0.75,350,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"At first, I wanted to add a little bit to any account that returned 15% or higher. I also liked keeping money in one of my locked savings account, because it felt safer for some reason. After the first couple of days, however, it seemed better to put any extra money into the account with the 20% return because that account would generate the most money.",Not at all important,Slightly important,Extremely important,"Next time, I would put any available money in the account with the 20% return as soon as possible to maximize my payoff.",0,46,California,White,College graduate with Bachelor's Degree (4 year),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,0,1,0,1,1,900,0,1,0,NA,3520,700,500,0,NA,NA,NA,NA,3620,700,500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaheim12704,NA,NA,967,1,0,900,0,NA,NA,NA,NA,NA,NA,NA,NA,820,1,1,NA,NA,NA,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,5594,0,500,0,0,0,900,1500,6094,0.91795206,0,0.082047917,0,1,1004,1,1
5,3,A2GOYSTIL3LOV1,0,1004,1904,1904,0,0,0,NA,NA,900,0,600,600,0,0,0,1904,0,0,0,600,0,0,0,5524,700,500,0,6124,700,500,0,900,1500,300,0.6,400,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"At first, I wanted to add a little bit to any account that returned 15% or higher. I also liked keeping money in one of my locked savings account, because it felt safer for some reason. After the first couple of days, however, it seemed better to put any extra money into the account with the 20% return because that account would generate the most money.",Not at all important,Slightly important,Extremely important,"Next time, I would put any available money in the account with the 20% return as soon as possible to maximize my payoff.",0,46,California,White,College graduate with Bachelor's Degree (4 year),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,1,0,0,0,0,NA,5524,700,500,0,NA,NA,NA,NA,6124,700,500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,anaheim12704,NA,NA,1050,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1904,1,1,NA,NA,NA,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,5594,0,500,0,0,0,900,1500,6094,0.91795206,0,0.082047917,0,1,1370,1,1
